"StateFIPS","State","Year","Value","Data Comment","Age Group"
"01","Alabama","2011","Data Not Collected","","0 TO 4"
"01","Alabama","2011","Data Not Collected","","5 TO 9"
"01","Alabama","2011","Data Not Collected","","10 TO 14"
"01","Alabama","2011","Data Not Collected","","15 TO 17"
"01","Alabama","2012","6.3","","0 TO 4"
"01","Alabama","2012","13.6","","5 TO 9"
"01","Alabama","2012","15.1","","10 TO 14"
"01","Alabama","2012","9.8","","15 TO 17"
"01","Alabama","2013","Data Not Collected","","0 TO 4"
"01","Alabama","2013","Data Not Collected","","5 TO 9"
"01","Alabama","2013","Data Not Collected","","10 TO 14"
"01","Alabama","2013","Data Not Collected","","15 TO 17"
"01","Alabama","2014","6.6","","0 TO 4"
"01","Alabama","2014","16.3","","5 TO 9"
"01","Alabama","2014","15.2","","10 TO 14"
"01","Alabama","2014","15.3","","15 TO 17"
"01","Alabama","2015","Data Not Collected","","0 TO 4"
"01","Alabama","2015","Data Not Collected","","5 TO 9"
"01","Alabama","2015","Data Not Collected","","10 TO 14"
"01","Alabama","2015","Data Not Collected","","15 TO 17"
"01","Alabama","2016","Data Not Collected","","0 TO 4"
"01","Alabama","2016","Data Not Collected","","5 TO 9"
"01","Alabama","2016","Data Not Collected","","10 TO 14"
"01","Alabama","2016","Data Not Collected","","15 TO 17"
"01","Alabama","2017","Data Not Collected","","0 TO 4"
"01","Alabama","2017","Data Not Collected","","5 TO 9"
"01","Alabama","2017","Data Not Collected","","10 TO 14"
"01","Alabama","2017","Data Not Collected","","15 TO 17"
"01","Alabama","2018","Data Not Collected","","0 TO 4"
"01","Alabama","2018","Data Not Collected","","5 TO 9"
"01","Alabama","2018","Data Not Collected","","10 TO 14"
"01","Alabama","2018","Data Not Collected","","15 TO 17"
"01","Alabama","2019","Data Not Collected","","0 TO 4"
"01","Alabama","2019","Data Not Collected","","5 TO 9"
"01","Alabama","2019","Data Not Collected","","10 TO 14"
"01","Alabama","2019","Data Not Collected","","15 TO 17"
"01","Alabama","2020","Data Not Collected","","0 TO 4"
"01","Alabama","2020","Data Not Collected","","5 TO 9"
"01","Alabama","2020","Data Not Collected","","10 TO 14"
"01","Alabama","2020","Data Not Collected","","15 TO 17"
"02","Alaska","2011","Data Not Collected","","0 TO 4"
"02","Alaska","2011","Data Not Collected","","5 TO 9"
"02","Alaska","2011","Data Not Collected","","10 TO 14"
"02","Alaska","2011","Data Not Collected","","15 TO 17"
"02","Alaska","2012","Data Not Collected","","0 TO 4"
"02","Alaska","2012","Data Not Collected","","5 TO 9"
"02","Alaska","2012","Data Not Collected","","10 TO 14"
"02","Alaska","2012","Data Not Collected","","15 TO 17"
"02","Alaska","2013","Data Not Collected","","0 TO 4"
"02","Alaska","2013","Data Not Collected","","5 TO 9"
"02","Alaska","2013","Data Not Collected","","10 TO 14"
"02","Alaska","2013","Data Not Collected","","15 TO 17"
"02","Alaska","2014","Data Not Collected","","0 TO 4"
"02","Alaska","2014","Data Not Collected","","5 TO 9"
"02","Alaska","2014","Data Not Collected","","10 TO 14"
"02","Alaska","2014","Data Not Collected","","15 TO 17"
"02","Alaska","2015","Data Not Collected","","0 TO 4"
"02","Alaska","2015","Data Not Collected","","5 TO 9"
"02","Alaska","2015","Data Not Collected","","10 TO 14"
